"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.10.2024","103,78","103,78","103,78","103,78","","-0,29%"
"30.10.2024","104,08","104,08","104,08","104,08","","-0,01%"
"29.10.2024","104,09","104,09","104,09","104,09","","-0,06%"
"28.10.2024","104,15","104,15","104,15","104,15","","-0,08%"
"25.10.2024","104,23","104,23","104,23","104,23","","-0,16%"
"24.10.2024","104,40","104,40","104,40","104,40","","-0,21%"
"23.10.2024","104,62","104,62","104,62","104,62","","-0,30%"
"22.10.2024","104,94","104,94","104,94","104,94","","-0,28%"
"21.10.2024","105,23","105,23","105,23","105,23","","-0,13%"
"18.10.2024","105,37","105,37","105,37","105,37","","0,01%"
"17.10.2024","105,36","105,36","105,36","105,36","","-0,79%"
